Ticker,EventDate,CAR_Window,CAR,Surprise,EPS_Estimate,Reported_EPS
PLTR,2025-02-03 16:05:00,30,-0.2701726996781554,0.2655,0.11,0.14
PLTR,2024-11-04 16:09:00,1,0.026473830809150986,0.1574,0.09,0.1
PLTR,2024-11-04 16:09:00,2,0.011979059318586074,0.1574,0.09,0.1
PLTR,2024-11-04 16:09:00,5,0.06413180793984243,0.1574,0.09,0.1
PLTR,2024-11-04 16:09:00,10,0.12501236846711483,0.1574,0.09,0.1
PLTR,2024-11-04 16:09:00,30,0.16271297828318493,0.1574,0.09,0.1
PLTR,2024-08-05 16:12:00,1,0.006274203988445217,0.10800000000000001,0.08,0.09
PLTR,2024-08-05 16:12:00,2,0.0673759404686928,0.10800000000000001,0.08,0.09
PLTR,2024-08-05 16:12:00,5,0.056376697562154535,0.10800000000000001,0.08,0.09
PLTR,2024-08-05 16:12:00,10,0.050226295038667074,0.10800000000000001,0.08,0.09
PLTR,2024-08-05 16:12:00,30,0.17005036812873514,0.10800000000000001,0.08,0.09
PLTR,2024-05-06 16:07:00,1,0.0046275738799943684,0.02,0.08,0.08
PLTR,2024-05-06 16:07:00,2,-0.029532786334223137,0.02,0.08,0.08
PLTR,2024-05-06 16:07:00,5,-0.03778008617623231,0.02,0.08,0.08
PLTR,2024-05-06 16:07:00,10,-0.0942193071323173,0.02,0.08,0.08
PLTR,2024-05-06 16:07:00,30,-0.06033699318483783,0.02,0.08,0.08
PLTR,2024-02-05 16:07:00,1,0.05773501639609243,0.0616,0.08,0.08
PLTR,2024-02-05 16:07:00,2,0.09974550919812988,0.0616,0.08,0.08
PLTR,2024-02-05 16:07:00,5,0.12503320315615277,0.0616,0.08,0.08
PLTR,2024-02-05 16:07:00,10,0.08151845721521692,0.0616,0.08,0.08
PLTR,2024-02-05 16:07:00,30,0.17884558956321372,0.0616,0.08,0.08
PLTR,2023-11-02 07:18:00,1,-0.026548644225628297,0.24530000000000002,0.06,0.07
PLTR,2023-11-02 07:18:00,2,-0.02426294957011619,0.24530000000000002,0.06,0.07
PLTR,2023-11-02 07:18:00,5,-0.011294762708852393,0.24530000000000002,0.06,0.07
PLTR,2023-11-02 07:18:00,10,-0.056110401719574474,0.24530000000000002,0.06,0.07
PLTR,2023-11-02 07:18:00,30,-0.2751962744422448,0.24530000000000002,0.06,0.07
PLTR,2023-08-07 16:05:00,1,-0.09696534830303187,-0.015600000000000001,0.05,0.05
PLTR,2023-08-07 16:05:00,2,-0.09516322175675576,-0.015600000000000001,0.05,0.05
PLTR,2023-08-07 16:05:00,5,-0.1058429777652212,-0.015600000000000001,0.05,0.05
